Country,Date,Tonnes CO2/person
Afghanistan,1799-01-01T00:00:00.000000+00:00,
Angola,1799-01-01T00:00:00.000000+00:00,
Albania,1799-01-01T00:00:00.000000+00:00,
Andorra,1799-01-01T00:00:00.000000+00:00,
United Arab Emirates,1799-01-01T00:00:00.000000+00:00,
Argentina,1799-01-01T00:00:00.000000+00:00,
Armenia,1799-01-01T00:00:00.000000+00:00,
Antigua and Barbuda,1799-01-01T00:00:00.000000+00:00,
Australia,1799-01-01T00:00:00.000000+00:00,
Austria,1799-01-01T00:00:00.000000+00:00,
Azerbaijan,1799-01-01T00:00:00.000000+00:00,
Burundi,1799-01-01T00:00:00.000000+00:00,
Belgium,1799-01-01T00:00:00.000000+00:00,
Benin,1799-01-01T00:00:00.000000+00:00,
Burkina Faso,1799-01-01T00:00:00.000000+00:00,
Bangladesh,1799-01-01T00:00:00.000000+00:00,
Bulgaria,1799-01-01T00:00:00.000000+00:00,
Bahrain,1799-01-01T00:00:00.000000+00:00,
Bahamas,1799-01-01T00:00:00.000000+00:00,
Bosnia and Herzegovina,1799-01-01T00:00:00.000000+00:00,
Belarus,1799-01-01T00:00:00.000000+00:00,
Belize,1799-01-01T00:00:00.000000+00:00,
Bolivia,1799-01-01T00:00:00.000000+00:00,
Brazil,1799-01-01T00:00:00.000000+00:00,
Barbados,1799-01-01T00:00:00.000000+00:00,
Brunei,1799-01-01T00:00:00.000000+00:00,
Bhutan,1799-01-01T00:00:00.000000+00:00,
Botswana,1799-01-01T00:00:00.000000+00:00,
Central African Republic,1799-01-01T00:00:00.000000+00:00,
Canada,1799-01-01T00:00:00.000000+00:00,0.00733
Switzerland,1799-01-01T00:00:00.000000+00:00,
Chile,1799-01-01T00:00:00.000000+00:00,
China,1799-01-01T00:00:00.000000+00:00,
Cote d'Ivoire,1799-01-01T00:00:00.000000+00:00,
Cameroon,1799-01-01T00:00:00.000000+00:00,
"Congo, Dem. Rep.",1799-01-01T00:00:00.000000+00:00,
"Congo, Rep.",1799-01-01T00:00:00.000000+00:00,
Colombia,1799-01-01T00:00:00.000000+00:00,
Comoros,1799-01-01T00:00:00.000000+00:00,
Cape Verde,1799-01-01T00:00:00.000000+00:00,
Costa Rica,1799-01-01T00:00:00.000000+00:00,
Cuba,1799-01-01T00:00:00.000000+00:00,
Cyprus,1799-01-01T00:00:00.000000+00:00,
Czech Republic,1799-01-01T00:00:00.000000+00:00,
Germany,1799-01-01T00:00:00.000000+00:00,0.0442
Djibouti,1799-01-01T00:00:00.000000+00:00,
Dominica,1799-01-01T00:00:00.000000+00:00,
Denmark,1799-01-01T00:00:00.000000+00:00,
Dominican Republic,1799-01-01T00:00:00.000000+00:00,
Algeria,1799-01-01T00:00:00.000000+00:00,
Ecuador,1799-01-01T00:00:00.000000+00:00,
Egypt,1799-01-01T00:00:00.000000+00:00,
Eritrea,1799-01-01T00:00:00.000000+00:00,
Spain,1799-01-01T00:00:00.000000+00:00,
Estonia,1799-01-01T00:00:00.000000+00:00,
Ethiopia,1799-01-01T00:00:00.000000+00:00,
Finland,1799-01-01T00:00:00.000000+00:00,
Fiji,1799-01-01T00:00:00.000000+00:00,
France,1799-01-01T00:00:00.000000+00:00,
"Micronesia, Fed. Sts.",1799-01-01T00:00:00.000000+00:00,
Gabon,1799-01-01T00:00:00.000000+00:00,
United Kingdom,1799-01-01T00:00:00.000000+00:00,2.48
Georgia,1799-01-01T00:00:00.000000+00:00,
Ghana,1799-01-01T00:00:00.000000+00:00,
