Country,Date,Percent Pop. on Internet
Aruba,1959-01-01T00:00:00.000000+00:00,
Afghanistan,1959-01-01T00:00:00.000000+00:00,
Angola,1959-01-01T00:00:00.000000+00:00,
Albania,1959-01-01T00:00:00.000000+00:00,
Andorra,1959-01-01T00:00:00.000000+00:00,
United Arab Emirates,1959-01-01T00:00:00.000000+00:00,
Argentina,1959-01-01T00:00:00.000000+00:00,
Armenia,1959-01-01T00:00:00.000000+00:00,
American Samoa,1959-01-01T00:00:00.000000+00:00,
Antigua and Barbuda,1959-01-01T00:00:00.000000+00:00,
Australia,1959-01-01T00:00:00.000000+00:00,
Austria,1959-01-01T00:00:00.000000+00:00,
Azerbaijan,1959-01-01T00:00:00.000000+00:00,
Burundi,1959-01-01T00:00:00.000000+00:00,0.0
Belgium,1959-01-01T00:00:00.000000+00:00,
Benin,1959-01-01T00:00:00.000000+00:00,
Burkina Faso,1959-01-01T00:00:00.000000+00:00,
Bangladesh,1959-01-01T00:00:00.000000+00:00,
Bulgaria,1959-01-01T00:00:00.000000+00:00,
Bahrain,1959-01-01T00:00:00.000000+00:00,
Bahamas,1959-01-01T00:00:00.000000+00:00,
Bosnia and Herzegovina,1959-01-01T00:00:00.000000+00:00,
Belarus,1959-01-01T00:00:00.000000+00:00,
Belize,1959-01-01T00:00:00.000000+00:00,
Bermuda,1959-01-01T00:00:00.000000+00:00,
Bolivia,1959-01-01T00:00:00.000000+00:00,
Brazil,1959-01-01T00:00:00.000000+00:00,
Barbados,1959-01-01T00:00:00.000000+00:00,
Brunei,1959-01-01T00:00:00.000000+00:00,
Bhutan,1959-01-01T00:00:00.000000+00:00,
Botswana,1959-01-01T00:00:00.000000+00:00,0.0
Central African Republic,1959-01-01T00:00:00.000000+00:00,
Canada,1959-01-01T00:00:00.000000+00:00,
Switzerland,1959-01-01T00:00:00.000000+00:00,
Chile,1959-01-01T00:00:00.000000+00:00,
China,1959-01-01T00:00:00.000000+00:00,
Cote d'Ivoire,1959-01-01T00:00:00.000000+00:00,
Cameroon,1959-01-01T00:00:00.000000+00:00,
"Congo, Dem. Rep.",1959-01-01T00:00:00.000000+00:00,
"Congo, Rep.",1959-01-01T00:00:00.000000+00:00,
Colombia,1959-01-01T00:00:00.000000+00:00,
Comoros,1959-01-01T00:00:00.000000+00:00,
Cape Verde,1959-01-01T00:00:00.000000+00:00,
Costa Rica,1959-01-01T00:00:00.000000+00:00,
Cuba,1959-01-01T00:00:00.000000+00:00,
Cayman Islands,1959-01-01T00:00:00.000000+00:00,
Cyprus,1959-01-01T00:00:00.000000+00:00,
Czech Republic,1959-01-01T00:00:00.000000+00:00,
Germany,1959-01-01T00:00:00.000000+00:00,
Djibouti,1959-01-01T00:00:00.000000+00:00,
Dominica,1959-01-01T00:00:00.000000+00:00,
Denmark,1959-01-01T00:00:00.000000+00:00,
