country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,−0.2,−0.2,−2.7,−2.7,0,0,0,2.9,0,−2.2,0,4.2,−1.2,0
Angola,4.7,4.7,−0.15,−0.15,0,0.3,0,0,0,0.5,2.2,0,1,−0.6
Albania,0,0,−0.25,−0.25,−0.5,−1.4,0,0,2.4,0,0.7,0,−0.9,1.9
Argentina,0,0,1.05,1.05,0,0,0,0,1.8,−0.6,0,0.6,0,−0.7
Armenia,−0.3,−0.3,0,0,0,0,−0.7,1.1,−1.3,−1.2,2.3,6.8,7.5,−1.9
Australia,0,0,0.65,0.65,0,0,−0.9,−1.2,0,0,0.8,0,0,−1.3
Austria,−1,−1,0,0,0,1.3,−1.4,0.6,0,−1.3,0.1,−1.3,0,−1.3
Azerbaijan,−0.6,−0.6,−0.2,−0.2,0,0,−0.9,−2.3,−1.2,−0.6,0,0,1,−0.7
Burundi,0,0,−2.5,−2.5,0,−4.1,−1.9,−0.8,−8.4,−0.9,−0.7,0,−1.8,−0.1
Belgium,0.05,0.05,−0.55,−0.55,0,0,0,−1.2,0,−1.6,0.1,0,−1.4,−1.3
Benin,−0.5,−0.5,0.55,0.55,−1.1,−0.6,−1.3,−2.2,0.7,−0.5,−0.6,1.3,−6.5,−5.1
Burkina Faso,−0.6,−0.6,−0.05,−0.05,0,−0.7,6.3,−0.6,6.1,0,0.5,0,−7.1,−3.1
Bangladesh,−2.95,−2.95,1.75,1.75,−0.1,0,0,−0.8,−0.5,0,−3,1.4,3.1,1.1
Bulgaria,−0.4,−0.4,−0.9,−0.9,−0.6,−0.6,1.1,−1,4.1,−1.3,0.2,0,0,−3.2
Bahrain,−0.75,−0.75,0.55,0.55,−5.7,−3.9,3.4,0,−0.8,0,−0.8,0,−1.6,−0.6
Bosnia and Herzegovina,−0.4,−0.4,−1.9,−1.9,−0.8,−1.3,−0.9,−2.4,0.5,0.4,0,1.1,−1.2,−0.2
Belarus,0,0,0,0,−1.8,−1.2,0,6.5,−0.7,−0.8,−4.1,0,−6.5,1.1
Bolivia,0.85,0.85,−1.15,−1.15,−0.8,0,−0.5,0,−0.4,−1.2,−1.4,2.1,−8.6,2.4
Brazil,0,0,−1.3,−1.3,0,0,0,2.6,−4.2,−0.6,−0.4,1.1,−1.1,0.6
Bhutan,8.4,8.4,1.9,1.9,−1.1,0.8,1.7,0.5,0.6,0,1.5,2.2,0,4.1
Botswana,−0.65,−0.65,0.8,0.8,0,2.2,1.3,−1.1,0,0,−0.6,0,0,−1.9
Central African Republic,1.25,1.25,−0.2,−0.2,0,1.7,−5,0,0.8,0.4,−0.9,0,−2,0
Canada,0,0,0.05,0.05,0,0,0,0,0,0.7,0,0,0.7,0.2
Switzerland,0.65,0.65,−0.3,−0.3,0,0,0,0,0,0,−0.6,0,0,−2
Chile,0,0,−1.1,−1.1,−1.3,0,2.6,0,0.4,−0.6,0.6,1.3,1.1,2
China,0.35,0.35,0.5,0.5,0,−1.4,0,0,1.4,0,−0.4,2.2,−10.6,0.1
Cote d'Ivoire,−0.55,−0.55,−1.25,−1.25,0.6,1.7,0,2.8,−2.2,5,1.2,2.2,−1,0.6
Cameroon,0.95,0.95,−0.25,−0.25,0,0.3,−0.3,0,2.5,−2,1.5,−3.3,−4.3,−0.8
"Congo, Dem. Rep.",−2.4,−2.4,−0.65,−0.65,0,−2.3,−0.9,−0.8,3.6,−1.8,−3.2,−1.2,−3.6,0
"Congo, Rep.",−1.25,−1.25,−0.25,−0.25,0,0,0,0,0.2,0,3.4,0.6,−2,0
Colombia,0.7,0.7,0.05,0.05,0.8,0,−0.8,0,0.7,0.5,0,2.9,1.7,−0.9
Comoros,−1.6,−1.6,−0.85,−0.85,1.1,0,0,0,1.9,0,0,0,−5.6,−0.6
Cape Verde,1.9,1.9,0.65,0.65,−0.2,0,0,−1.1,0,1.3,−0.6,0,−1,−1.3
Costa Rica,0,0,0,0,0.6,0,−0.7,0,−0.7,−0.8,0,1.9,0.6,0.3
Cuba,0,0,0,0,0,0,0,0,0,−0.6,−1.5,−3.1,−1.6,0
Cyprus,0.5,0.5,−2.05,−2.05,0,0,0,1.1,1.3,1.2,−0.6,0,0,−0.3
Czech Republic,0.1,0.1,0,0,0,0,−1.3,−1.2,0,−1.2,−2,0.7,0,−0.2
Germany,0,0,−2.2,−2.2,−0.4,0,−0.3,3.3,0,−0.1,−0.2,0.7,0,−0.1
Djibouti,0,0,−0.85,−0.85,4.8,0.6,2.2,0.3,−0.9,−0.7,−0.7,1.1,−1,−0.6
Denmark,0,0,0,0,0,0,−1.4,−2.7,0,0.9,0.2,0,0,−0.7
Dominican Republic,0.35,0.35,0,0,0,2.9,2.5,−0.7,0,0,−0.1,−1.2,0,−2.2
Algeria,0.75,0.75,0.6,0.6,0,3.9,0,0,1.2,−3.9,0,−0.6,5.1,
Ecuador,0,0,0.65,0.65,−0.5,0.6,0.9,0,0,−0.6,2.1,2.5,0.6,−2
Egypt,−0.05,−0.05,−4.1,−4.1,8.8,6.1,−12.9,−1.1,0.2,1.3,0.5,0,−3,−1.3
Eritrea,0,0,0,0,0.3,0.6,0,0.4,−0.7,0,0,0,0,−2.2
Spain,0.55,0.55,−1.45,−1.45,−1.4,0,0,0.3,2.5,0,−2.2,0,2.1,−1.7
Estonia,−0.3,−0.3,0,0,−0.7,0,0,1.3,1.1,0,−0.6,1.8,−0.7,−0.6
Ethiopia,−1,−1,−4.2,−4.2,1.1,−0.7,1.1,−1.1,1.1,−2.3,−1.8,−0.7,0.9,−0.6
Finland,0,0,−0.3,−0.3,−1.3,0,−0.3,0,0,0,0,1.1,1.1,−0.5
Fiji,−2.75,−2.75,−7.45,−7.45,0.5,0,−0.6,20,0.8,−0.5,2.1,0,0,−1.3
France,0,0,−1.5,−1.5,0,1.1,0.4,1.2,−1.2,0,−1.2,0,3.2,−1.3
Gabon,1.4,1.4,1.45,1.45,1.9,0.8,2,0,0,−0.2,−1.3,0,0,−0.7
Georgia,−1.4,−1.4,−0.15,−0.15,1.5,7.9,4.2,−1.3,0.6,0.5,0,−4.3,−0.8,−1.1
Ghana,0,0,3.35,3.35,0,0,3.1,0,5.3,−1.1,−0.6,−0.6,0,−1.3
Guinea,0.35,0.35,3.5,3.5,0,0,0.5,1.7,1.3,0,0,0,0,−0.6
Gambia,−1,−1,−4.05,−4.05,0,−0.7,0,−2.6,−0.8,−0.6,11.5,2.5,0.2,1.6
Guinea-Bissau,−0.05,−0.05,0,0,0,−5.6,−1.7,6.7,0,0.5,0,0,6.5,0
Equatorial Guinea,0.5,0.5,−1.75,−1.75,−0.7,0.6,−0.6,−1.1,1.1,−0.7,1.1,1.1,0,0
Greece,0,0,−1.05,−1.05,−2.7,0,0,−2,0,−2.2,0.6,0,1.4,−0.4
Guatemala,0,0,−0.1,−0.1,−1.7,0,−0.7,0,1.1,0,−0.6,−2.6,−3.4,−2.9
Guyana,−0.15,−0.15,−0.35,−0.35,0,0,0,−1.4,1.4,2,2.1,2.1,−5.2,−1.4
"Hong Kong, China",−0.9,−0.9,0.35,0.35,0,5,0,0.4,0.4,−0.8,−1.1,−1.6,−1.3,−4.5
Honduras,−0.35,−0.35,−2.1,−2.1,0.8,0,0,0,0,0.8,−2,−0.9,−2.1,−0.6
Croatia,0,0,−1.15,−1.15,−0.8,2,0,0,0,−1.8,−1.2,−0.6,0,−0.7
